split,model,conf_mode,global_conf,mask_precision,mask_recall,mask_mAP50,mask_mAP50-95,box_precision,box_recall,box_mAP50,box_mAP50-95
val,yolov11l-seg,global,0.25,0.613,0.4203,0.4712,0.3738,0.6344,0.4366,0.4926,0.4045
test,yolov11l-seg,global,0.25,0.5077,0.339,0.3461,0.2628,0.5667,0.3635,0.382,0.3032
