split,model,conf_mode,mean_coverage,median_coverage,min_coverage,max_coverage,std_coverage,pct_100,pct_ge_90,pct_ge_80,pct_60_79,pct_lt_60
val,yolov11l-seg,global,77.5,83.33,0.0,100.0,27.76,48.44,48.44,54.69,26.56,18.75
test,yolov11l-seg,global,75.98,75.0,0.0,100.0,24.79,44.44,44.44,44.44,30.16,25.4
