split,box_precision,box_recall,box_mAP50,box_mAP50_95,mask_precision,mask_recall,mask_mAP50,mask_mAP50_95
val,0.4916746192719774,0.4086415415365581,0.4413520015761917,0.34266530578268445,0.4677113409851537,0.40351887223795385,0.4205203380713152,0.30503797434670615
test,0.4220471420742102,0.31686752870639,0.3399246521700012,0.2569158002875644,0.3218217894836499,0.3599157210630691,0.31069814427640896,0.2243802740707021
