split,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),fitness
val,0.6350154678887757,0.436447094528429,0.4920565223311731,0.4041900064651218,0.613466614302966,0.4202306097748086,0.4707308542791955,0.3735397686545676,0.7777297751196894
test,0.5675586252605345,0.3635760673167458,0.38210124611473345,0.3033612979715707,0.5073378726606006,0.33946962357261057,0.3462120190548975,0.26299016274199943,0.5663514607135701
