trial,value,lr0,lrf,weight_decay,mosaic,copy_paste,mixup,box,cls,dfl
0,0.3742422095969486,4.3284502212938785e-05,0.04778214378844623,0.000291063591313307,0.7993292420985183,0.2624074561769746,0.03899863008405066,4.3485016730091965,1.3394113749299221,2.2022300234864174
3,0.37173468658467085,7.475992999956501e-05,0.03165865559879191,1.2385137298860926e-05,0.8037724259507192,0.2682096494749166,0.01626289824631988,9.69331322352,1.4587584396894713,2.6167946962329225
1,0.0,0.00015958573588141273,0.0059263022433111105,0.0008706020878304854,0.9162213204002109,0.28493564427131046,0.045456241801775155,5.100427059120603,0.6650906915514452,2.049512863264476
2,0.0,5.4182823195332406e-05,0.018105311308911888,0.00016738085788752134,0.569746930326021,0.3168578594140873,0.09159046082342293,6.736419905302215,1.2422111536716163,1.3993475643167195
4,0.0,3.292529363110524e-05,0.009395245130287274,0.000233596350262616,0.7200762468698007,0.24881529393791155,0.12379422752781755,4.20633112669131,1.3911844824945385,1.5175599632000338
5,0.0,0.00013353819088790598,0.019026998424023493,0.00010968217207529509,0.7733551396716398,0.2739417822102108,0.24239615694113964,8.650796940166687,1.427398729877027,2.789654700855298
6,0.0,0.0001037084466895453,0.04648434057604026,1.5030900645056805e-05,0.5979914312095727,0.21809091556421523,0.08133258269081609,6.332063738136892,0.6256188381286751,2.6574750183038587
7,0.0,4.0375061884407564e-05,0.017642052935932136,0.00012172847081122418,0.5704621124873813,0.5208787923016158,0.018637660919942706,9.921321619603104,1.226693723155989,1.3974313630683448
8,0.0,1.0218376758008082e-05,0.04169576428046754,0.0002592475660475158,0.8645035840204937,0.5085081386743783,0.01851116293352259,6.150794371265635,0.43904287143015563,2.7262068517511873
9,0.0,0.0001145420156259939,0.019890411118369214,1.3400367243354803e-05,0.6554911608578311,0.33007332881069884,0.18240154458451602,7.8253448281312785,1.364655291091592,1.9444298503238986
10,0.0,0.0004136425258672829,0.03519532238391919,4.12466254419299e-05,0.9661451709558935,0.4262452362725613,0.1607126147518772,4.093568797950737,0.919783757554707,2.1410957297633666
11,0.0,1.7416551468502246e-05,0.033205953010844294,0.0007791470666172787,0.7968289828959885,0.37374250870256454,0.0050133080776930405,9.613371256488549,1.0286211288398708,2.41516731505857
12,0.0,5.6505424806091754e-05,0.029841180803398364,4.1371580611073916e-05,0.844768300560321,0.2131876384672171,0.05927030749767987,7.765857671535699,1.4932640494008356,2.367859426007869
13,0.0,2.4316572943162954e-05,0.04931451955884316,3.082549807873249e-05,0.7190650837455672,0.40625725267163926,0.05114613702618474,5.449329597882038,1.1022540407132428,2.995695669659833
14,0.0,0.0002782964309975601,0.039504043269391546,0.00041845322901685024,0.9980084946806067,0.34695155488800633,0.09557187239429399,8.803008177367465,1.2386102150889982,1.7268130647495568
